"communityname","population","state","medIncome","medIncomein000s","PctRecImmig5","PctNotHSGrad","PctUnemployed","PopDens","LemasSwornFT","PctFam2Par","PctPopUnderPov","PctVacMore6Mos","PctShelter","MedYrHousBuilt","new_murdPerPop","new_rapesPerPop","new_robbbPerPop","new_assaultPerPop","new_burglPerPop","new_larcPerPop","new_autoTheftPerPop","new_arsonsPerPop","calc_ViolentCrimesPerPop","calc_nonViolPerPop","totCrimesPerPop"
"Murfreesborocity",44922,"TN",26394,26.394,1.12,23.03,5.97,1428.3,NA,70.01,15.99,20.34,0.0979475535372423,1974,5.87,21.51,168.17,596.41,1210.43,4853.44,391.09,21.51,791.96,6476.47,7268.43
"Evanstoncity",73233,"IL",41115,41.115,3.33,10.82,4.28,9117.7,NA,72.34,9.85,27.11,0.0587166987560253,1939,1.34,26.92,299.77,293.08,1775.87,5156.31,433.6,21.41,621.11,7387.19,8008.3
"RiverRougecity",11314,"MI",17500,17.5,0,36.03,17.07,4093.3,NA,46.34,28.51,42.71,0,1939,18.78,26.92,385.09,854.7,1765.76,4311.07,1183.43,140.88,1285.49,7401.14,8686.63
"Atholtown",11451,"MA",27095,27.095,0.24,24.91,10.77,339.3,NA,74.33,11.67,60.09,0,1939,8.38,83.83,41.91,930.51,1089.78,1810.71,75.45,0,1064.63,2975.94,4040.57
"Littletoncity",33685,"CO",34006,34.006,0.66,10.15,4.62,2636.6,NA,74.6,7.34,21.42,0,1970,0,23.22,74.82,180.6,683.71,1695.09,276.06,51.6,278.64,2706.46,2985.1
"Homewoodvillage",19278,"IL",47064,47.064,0.4,9.5,3.61,3554.2,NA,87.73,1.36,32.12,0,1961,0,26.92,89.85,44.93,339.44,3718.86,643.94,9.98,161.7,4712.22,4873.92
"Jacksontownship",33233,"NJ",44690,44.69,0.53,20.48,5.68,320.6,NA,87.16,3.76,54.11,0,1974,0,0,14.61,52.59,333.09,3786.71,99.34,8.77,67.2,4227.91,4295.11
"HarkerHeightscity",12841,"TX",26470,26.47,0.76,12.4,4.37,1084.5,NA,78.49,11.21,29.66,0,1979,11,98.99,66,648.96,813.95,1820.38,175.99,16.5,824.95,2826.82,3651.77
"Tullahomacity",16761,"TN",26298,26.298,0.24,26.24,5.45,730.1,NA,73.77,14.22,35.74,0,1965,0,22.2,38.84,94.33,832.32,3096.22,310.73,21.08,155.37,4260.35,4415.72
"Belmontcity",24127,"CA",50859,50.859,2.84,8.47,3.41,5142.2,NA,81.75,4.71,28.37,0.0207236705765325,1962,0,11.87,39.56,114.72,423.29,2065.04,213.62,11.87,166.15,2713.82,2879.97
"Waynetownship",47025,"NJ",59290,59.29,1.43,14.66,3.91,1905.3,100,89.41,2.28,45.36,0,1962,2.02,18.22,32.4,72.89,459.63,3679.03,939.5,10.12,125.53,5088.28,5213.81
"Fairfieldcity",77211,"CA",36886,36.886,2.18,15.84,6.11,2078.7,NA,75,7.42,16.74,0.117858854308324,1973,11.88,54.63,223.29,661.54,983.41,4289.94,571.28,59.38,951.34,5904.01,6855.35
"Covingtoncity",10026,"GA",21344,21.344,0.29,49.73,11.64,806.5,NA,54.39,23.6,24.54,0,1964,8.61,120.54,370.24,835.2,3314.96,8128.12,1041.85,8.61,1334.59,12493.54,13828.13
"Tivertontown",14312,"RI",36170,36.17,0.17,29.53,5.39,470.5,NA,85.67,5.59,55.97,0,1960,0,0,34.29,13.72,679.01,1563.79,233.2,13.72,48.01,2489.72,2537.73
"Stowcity",27702,"OH",39638,39.638,0.66,14.05,3.14,1560.3,NA,84.99,3.06,43.88,0,1971,0,13.19,46.18,39.58,244.09,2018.67,52.78,0,98.95,2315.54,2414.49
"Hackensackcity",37049,"NJ",38976,38.976,5.72,25.57,5.79,8684.7,109,64.59,6.97,33.28,0.218629382709385,1962,10.63,31.89,180.68,217.88,435.76,3722.6,866.21,31.89,441.08,5056.46,5497.54
"Pearlandcity",18697,"TX",42565,42.565,0.78,14.97,3.13,916.2,NA,80.74,4.74,51.69,0,1976,0,3.94,43.3,157.45,641.61,2090.14,429.05,31.49,204.69,3192.29,3396.98
"Montgomerytownship",12179,"PA",52193,52.193,0.56,12.21,2.8,1102.3,NA,90.39,1.08,28.86,0,1984,8.07,0,24.22,24.22,363.28,4335.19,379.43,8.07,56.51,5085.97,5142.48
"Kannapoliscity",29696,"NC",22369,22.369,0.18,41.29,5.85,1826.3,NA,68.14,11.76,38.05,0,1956,16.02,35.25,179.47,243.57,1019.13,1938.92,221.13,35.25,474.31,3214.43,3688.74
"Fresnocity",354202,"CA",24923,24.923,5.83,30.99,8.52,3448.5,429,63.59,24.04,22.48,0.188592949785716,1970,22.39,55.6,741.06,599.49,2180.72,3736.99,3367.61,169.63,1418.54,9454.95,10873.49
"Brownsvillecity",98962,"TX",15890,15.89,5.04,54.51,15.3,3423.3,144,70.02,43.86,34.12,0.0272831996119723,1973,14.78,24.34,244.29,670.27,1920.39,6338.4,692,26.95,953.68,8977.74,9931.42
"SulphurSpringscity",14062,"TX",20298,20.298,0.33,36.28,7.88,777.6,NA,74.41,18.84,49.39,0,1969,6.75,87.78,114.8,1006.14,1188.47,3936.8,283.61,13.51,1215.47,5422.39,6637.86
"Fullertoncity",114144,"CA",41921,41.921,7.47,17.28,4.66,4980.1,151,76.35,9.81,8.16,0.0560695262125035,1966,1.7,30.65,221.37,276.71,1179.23,3895.27,1099.19,26.39,530.43,6200.08,6730.51
"Centraliacity",12101,"WA",21618,21.618,0.58,26.71,6.94,1964.4,NA,66.23,16.3,38.41,0.173539376910999,1952,0,77.86,62.29,397.1,1440.47,5341.43,404.89,62.29,537.25,7249.08,7786.33
"NorthHaventown",22247,"CT",49148,49.148,0.27,17.51,3.69,1033.3,NA,86.81,2.45,47.69,0,1960,0,4.44,35.52,44.4,550.5,2463.93,275.25,13.32,84.36,3303,3387.36
"Allentowncity",105090,"PA",25983,25.983,1.55,30.56,6.26,5726.9,186,65.5,12.86,31.6,0.0951565324959558,1945,5.69,39.81,307.07,328.87,1594.12,4415.57,424.59,39.81,681.44,6474.09,7155.53
"PointPleasantborough",18177,"NJ",40798,40.798,0.19,18.86,4.48,4963.7,NA,80.62,3.14,52.91,0.0990262419541179,1962,5.36,0,21.44,69.68,471.65,2170.65,101.83,0,96.48,2744.13,2840.61
"Warrentownship",10830,"NJ",72369,72.369,1.81,10.09,4.11,531.1,NA,93.24,0.73,40.41,0,1965,0,0,8.59,77.31,369.38,1554.85,77.31,8.59,85.9,2010.13,2096.03
"Asheborocity",16362,"NC",24294,24.294,0.32,34.52,3.91,1327.7,NA,65.15,12.84,31.01,0.122234445666789,1963,5.32,10.65,250.17,361.95,1735.24,5280.25,372.6,15.97,628.09,7404.06,8032.15
"Clarksburgcity",18059,"WV",17884,17.884,0.03,28.67,11.12,2219.6,NA,68.87,17.02,66.85,0.0553740517193643,1939,0,28.19,16.91,39.47,411.59,2057.96,152.23,5.64,84.57,2627.42,2711.99
"Walnutcity",29105,"CA",64333,64.333,7.73,12.47,4.28,3170.5,NA,90.18,4.09,32.24,0,1982,6.15,24.61,98.44,366.07,919.8,1064.39,286.09,24.61,495.27,2294.89,2790.16
"Garycity",116646,"IN",19390,19.39,0.06,35.24,16.6,2241.1,208,43.22,29.43,70.85,0.0762992301493407,1954,91.09,150.95,810.28,1102.64,2216.55,3113.59,2258.2,436.37,2154.96,8024.71,10179.67
"Hammondcity",84236,"IN",26883,26.883,0.38,30.67,8.93,3542.9,184,68.1,13.49,36.73,0.170948288142837,1949,9.57,63.42,336.24,985.99,1373.68,4208.4,1571.12,81.37,1395.22,7234.57,8629.79
"Dennistown",13864,"MA",27900,27.9,0.2,11.64,8.65,649.2,NA,67.97,10.56,75.12,0,1968,0,20.41,20.41,251.7,2013.61,2632.65,204.08,61.22,292.52,4911.56,5204.08
"NorthCantoncity",14748,"OH",32369,32.369,0.1,12.34,4.13,2579.2,NA,81.87,5.14,24.69,0,1962,0,20.05,73.53,13.37,534.8,1611.07,100.27,0,106.95,2246.14,2353.09
"McMinnvillecity",17894,"OR",25878,25.878,2.7,19.31,4.83,2025.1,NA,71.84,12.92,21.05,0.0782385157035878,1972,0,43.58,72.63,150.09,779.51,4067.01,295.34,33.89,266.3,5175.75,5442.05
"FortPiercecity",36830,"FL",18913,18.913,2.8,43.15,12.39,2892.7,NA,46.08,29.23,17.67,0.781971219114852,1970,26.78,133.92,658.88,1762.37,3519.39,5860.3,2038.25,48.21,2581.95,11466.15,14048.1
"MasonCitycity",29040,"IA",24146,24.146,0.17,20.34,4,1095.2,NA,75.4,9.63,35.36,0.141184573002755,1952,6.91,13.82,41.45,1025.94,1519.91,5875.85,217.62,21.08,1088.12,7634.46,8722.58
"Peabodycity",47039,"MA",39800,39.8,1.77,20.82,5.31,2768.9,NA,81.23,4.6,41.37,0.172197538212972,1959,0,26.94,43.52,84.97,762.62,2582.12,661.07,6.22,155.43,4012.03,4167.46
"Benbrookcity",19564,"TX",45303,45.303,0.64,8.47,3.59,1662.5,NA,84.17,4.18,18.09,0,1978,4.68,32.73,42.08,70.13,308.56,1669,266.48,4.68,149.62,2248.72,2398.34
"Brownwoodcity",18387,"TX",17826,17.826,0.72,35.35,9.51,1510.6,NA,70.73,23.79,56.21,0,1955,0,67.96,73.19,554.13,1249.41,4349.42,198.65,52.28,695.28,5849.76,6545.04
"Lebanoncity",24800,"PA",21619,21.619,0.58,36.72,4.84,5712.2,NA,62.65,14.61,38.07,0.0161290322580645,1939,23.48,43.04,105.65,125.21,606.49,2907.23,109.56,7.83,297.38,3631.11,3928.49
"SouthHoustoncity",14207,"TX",23485,23.485,4.64,51.75,8.2,4530.3,NA,74.73,21.39,59.34,0,1966,0,0,139.94,166.6,1272.82,4624.82,1392.78,19.99,306.54,7310.41,7616.95
"Kingsvillecity",25276,"TX",22053,22.053,1.33,35.79,10.29,1919.5,NA,72.88,27.26,58.82,0,1963,15.27,57.27,61.09,698.69,1710.45,3756.87,145.08,68.72,832.32,5681.12,6513.44
"Kentwoodcity",37826,"MI",34324,34.324,0.61,16.08,3.43,1735.5,NA,77.16,4.98,12.48,0,1975,2.49,26.92,74.78,154.54,510.99,3803.78,194.43,14.96,258.73,4524.16,4782.89
"Butlercity",15714,"PA",17391,17.391,0.1,27.26,7.39,5624.2,NA,63.03,23.2,54.63,0.159093801705486,1939,5.91,17.73,17.73,171.36,401.82,2363.65,236.36,23.64,212.73,3025.47,3238.2
"Laceytownship",22141,"NJ",37397,37.397,0.26,23.05,6.1,254.4,NA,84.46,4.29,62.53,0,1976,0,0,13.16,65.79,403.49,2170.96,87.72,57.02,78.95,2719.19,2798.14
"Ansoniatown",18403,"CT",34181,34.181,0.82,27.16,7.55,2945.6,NA,71.61,7.59,44.48,0,1948,11.02,11.02,77.11,247.85,473.67,2004.85,446.13,27.54,347,2952.19,3299.19
"EastGreenwichtown",11865,"RI",50896,50.896,0.51,10.16,4.07,695.4,NA,84.23,4.72,38.32,0,1965,0,8.4,8.4,67.22,688.96,1579.57,109.23,0,84.02,2377.76,2461.78
"Sharonvillecity",11312,"OH",36332,36.332,0.53,19.9,2.27,1185.6,NA,80.06,5.23,17.07,0,1967,0,28.51,85.53,57.02,1247.33,4796.86,21.38,7.13,171.06,6072.7,6243.76
"Greenvillecity",12863,"OH",23044,23.044,0.29,27.71,7.03,2539.7,NA,72.6,10.98,40.89,0,1955,0,38.6,54.04,15.44,779.68,3643.66,138.95,23.16,108.08,4585.45,4693.53
"Tempecity",141865,"AZ",31885,31.885,2.86,10.08,5.19,3465.2,236,73.62,13.61,20.97,0.0359496704613541,1976,2.68,43.52,163.37,346.83,1388,5356.47,938.05,37.5,556.4,7720.02,8276.42
"Sanfordcity",14475,"NC",21205,21.205,0.48,29.52,6.93,1001.3,NA,58.28,21.06,32.58,0.0414507772020725,1966,12.1,66.56,278.33,883.4,3273.43,10298.3,369.09,72.61,1240.39,14013.43,15253.82
"Williamsburgcity",11530,"VA",25393,25.393,1.84,16.26,4.87,1292.6,NA,60.91,19.37,48.78,0,1970,0,23.65,149.77,39.41,378.37,3074.26,228.6,7.88,212.83,3689.11,3901.94
"Wickliffecity",14558,"OH",32964,32.964,0.18,23.47,4.41,3020.3,NA,79.07,4.18,22.22,0,1957,0,7.22,28.89,93.9,404.48,1560.13,216.68,0,130.01,2181.29,2311.3
"Smyrnacity",30981,"GA",33863,33.863,2.41,15.33,3.92,2630,NA,67.96,6.57,10.32,0,1979,3.02,39.3,217.68,187.45,1532.83,6140.4,801.19,0,447.45,8474.42,8921.87
"CrownPointcity",17728,"IN",37539,37.539,0.17,17.03,5.35,2168.3,170,84.02,3.43,26.62,0,1967,0,0,21.99,32.99,395.91,1253.71,126.47,16.5,54.98,1792.59,1847.57
"Hanahancity",13176,"SC",28435,28.435,0.96,20.26,2.83,1325,NA,74.46,7.53,30.41,0,1969,0,77.42,61.93,348.38,874.82,3166.37,209.03,0,487.73,4250.22,4737.95
"Haverfordtownship",49848,"PA",48210,48.21,0.86,12.66,2.81,4805.5,NA,88.62,3.18,35.92,0.218664740812069,1947,1.97,3.94,25.64,45.36,203.14,804.69,100.59,1.97,76.91,1110.39,1187.3
"LongBranchcity",28658,"NJ",30693,30.693,3.28,28.15,8.57,5303.9,NA,59.79,14.72,55.03,0,1954,7.14,46.39,424.67,749.41,2223.25,4560.7,442.51,78.51,1227.61,7304.97,8532.58
"Humblecity",12060,"TX",27483,27.483,1.63,22.83,5.16,1180,NA,68.66,8.56,39.46,0,1979,14.99,82.43,284.77,389.69,1199.04,5860.31,2697.84,22.48,771.88,9779.67,10551.55
"Suffieldtown",11427,"CT",50714,50.714,0.53,12.49,3.46,261.3,NA,87.59,2.72,59.13,0,1964,0,0,8.74,34.97,218.53,804.2,87.41,8.74,43.71,1118.88,1162.59
"Bettendorfcity",28132,"IA",40174,40.174,0.07,9.93,3.92,1278.9,NA,82.31,4.73,19.75,0,1968,0,13,42.24,399.61,662.77,2794.02,77.97,21.08,454.85,3555.84,4010.69
"LaCrossecity",51003,"WI",21947,21.947,2.17,19.28,6.24,2681.7,NA,69.11,21.04,26.11,0.0490167245064016,1951,0,13.65,25.35,35.1,356.82,5118.26,132.59,27.3,74.1,5634.97,5709.07
"Hobartcity",21822,"IN",34602,34.602,0.18,21.32,4.86,1363.5,NA,81.08,5.08,44.54,0,1957,0,0,45.03,118.72,446.21,1571.97,360.24,0,163.75,2378.42,2542.17
"Albemarlecity",14939,"NC",22504,22.504,0.2,39.42,6.66,983.3,NA,69.37,14.11,43.85,0,1957,5.7,0,210.9,689.69,2376.88,6497.95,262.2,28.5,906.29,9165.53,10071.82
"RoyalOakcity",65410,"MI",36835,36.835,0.88,13.95,4.36,5340.5,NA,79.54,4.56,19.29,0.116190184987005,1953,1.45,26.92,71.21,204.91,482.47,2992.21,361.86,14.53,304.49,3851.07,4155.56
"Newportcity",18871,"KY",18683,18.683,0.16,45.84,8.99,6654.1,NA,58.34,25.83,38.84,0,1939,10.62,69.03,169.92,844.31,1624.89,5023.36,536.32,21.24,1093.88,7205.81,8299.69
"DeerfieldBeachcity",46325,"FL",26950,26.95,2.2,25.73,4.79,4281.4,NA,66.1,9.89,34.29,0,1976,12.61,52.56,243.89,523.52,1337.17,4545.55,937.7,10.51,832.58,6830.93,7663.51
"Christiansburgtown",15004,"VA",26171,26.171,0.07,31.37,4.01,1071.1,NA,74.15,10.92,40.62,0,1973,0,33.88,22.59,56.47,485.66,4043.37,214.59,0,112.94,4743.62,4856.56
"VeroBeachcity",17350,"FL",26877,26.877,0.96,19.48,7.16,1512.9,NA,65.67,9.85,22.95,0,1971,5.43,81.46,135.77,434.45,1612.9,5224.29,581.08,10.86,657.11,7429.13,8086.24
"WestPatersonborough",10982,"NJ",44933,44.933,2.01,25.64,4.19,3578.6,NA,81.97,3.86,28.8,0,1962,0,17.5,43.74,174.98,664.92,2572.18,804.9,8.75,236.22,4050.75,4286.97
"Sherwoodcity",18893,"AR",36698,36.698,0.07,12.78,3.55,1558.8,NA,82.64,4.25,33.89,0.0317577938919176,1976,4.83,14.49,77.25,173.82,574.57,3152.91,449.04,4.83,270.39,4181.35,4451.74
"Shoreviewcity",24587,"MN",48828,48.828,0.76,4.99,2.45,2120.4,NA,86.44,2.77,38.41,0,1976,7.35,26.92,3.68,3.68,224.22,830.7,69.84,11.03,41.63,1135.79,1177.42
"Louisvillecity",269063,"KY",20141,20.141,0.55,32.81,8.24,4181.4,401,53.89,22.61,47.35,0.300301416396903,1947,13.57,49.52,510.93,425.11,1541.97,2962.17,852.78,94.26,999.13,5451.18,6450.31
"Needhamtown",27557,"MA",60357,60.357,1.21,5.58,4.35,2108.6,NA,87.25,3.29,22.45,0,1953,0,10.57,10.57,123.3,324.1,1218.91,91.59,14.09,144.44,1648.69,1793.13
"Jacksonvillecity",12765,"TX",17552,17.552,3.55,39.11,8.82,975,NA,64.01,26.71,51.71,0,1966,31.28,78.2,93.85,391.02,1165.25,3151.64,281.54,7.82,594.35,4606.25,5200.6
"Limacity",45549,"OH",21061,21.061,0.15,30.73,12.83,3469.8,NA,59.94,21.57,54.65,0.153680651605963,1950,13.46,107.7,464.45,1759.07,2263.91,4895.78,459.96,127.89,2344.68,7747.54,10092.22
"Charlestoncity",80414,"SC",25153,25.153,0.65,23.46,5.15,1796.2,250,59.31,21.61,59.71,0.218867361404731,1964,15.58,45.43,441.31,781.38,1390.13,5310.02,661.97,2.6,1283.7,7364.72,8648.42
"Westporttown",24410,"CT",81957,81.957,3.33,6.95,3.17,1177.6,65,86.02,3.15,45.13,0.0696435886931585,1956,0,0,92.82,28.25,698.17,2255.94,318.82,12.11,121.07,3285.04,3406.11
"Portlandcity",64358,"ME",26576,26.576,1.55,16.81,6.75,2743.7,144,63.98,14.03,46.86,0.292115976257808,1939,3.24,98.7,148.86,422.31,1847.81,4818.54,440.11,182.84,673.11,7289.3,7962.41
"Bucyruscity",13496,"OH",22023,22.023,0.19,30.67,9.53,2124.4,NA,71.48,15.52,44.59,0,1952,0,45.26,15.09,105.61,1191.91,3455.04,233.86,7.54,165.96,4888.35,5054.31
"Owensborocity",53549,"KY",21952,21.952,0.12,28.16,7.85,3454.8,NA,68.91,18.9,38.94,0.063493249173654,1964,7.39,55.45,97.95,114.59,1127.4,3938.49,157.1,11.09,275.38,5234.08,5509.46
"Broomfieldcity",24638,"CO",39067,39.067,0.78,8.25,3.76,1065.7,NA,83.06,5.05,27.18,0,1975,0,3.56,17.79,238.35,601.21,2714.34,135.18,74.71,259.7,3525.44,3785.14
"Dovertown",15115,"NJ",38822,38.822,8.22,32.23,7.19,5435.5,NA,72.64,7.64,36.14,0,1947,0,20.59,61.76,171.55,706.79,2724.22,514.65,27.45,253.9,3973.11,4227.01
"Ashlandcity",20079,"OH",24536,24.536,0.66,23.68,6.47,2044,NA,74.77,12.13,37.89,0.0199213108222521,1955,0,4.72,9.43,18.86,320.68,1796.75,141.48,9.43,33.01,2268.34,2301.35
"FergusFallscity",12362,"MN",22993,22.993,0.36,24.12,4.36,1224.5,NA,74.25,14.86,35.08,0,1956,0,26.92,7.93,126.95,714.12,3356.34,95.22,15.87,161.8,4181.55,4343.35
"ForestGrovecity",13559,"OR",24162,24.162,2.19,24.3,6.16,3171,NA,76.31,15.78,36.54,0,1970,12.66,18.99,50.65,44.32,740.69,3026.08,253.23,31.65,126.62,4051.65,4178.27
"Durhamcity",136611,"NC",27256,27.256,1.66,21.54,4.72,1903.5,NA,59.32,14.9,34,0.0915006844251195,1970,17.81,74.67,580.92,495.98,3323.17,5118,651.48,61.65,1169.38,9154.3,10323.68
"Wiltontown",15989,"CT",87686,87.686,1.11,5.34,3.83,572.6,NA,92.4,3.02,36.72,0,1965,0,0,12.32,30.81,332.7,936.48,61.61,6.16,43.13,1336.95,1380.08
"Mantuatownship",10074,"NJ",42841,42.841,0.29,22.53,3.2,611.6,NA,86.34,3.2,29.49,0,1958,9.47,18.94,18.94,123.08,823.71,3039.2,132.55,9.47,170.43,4004.93,4175.36
"MountPleasantcity",12291,"TX",20743,20.743,4.12,37.76,4.15,1191.5,NA,70.2,24.64,50.55,0,1965,22.85,22.85,60.94,251.37,1249.24,3831.51,297.07,30.47,358.01,5408.29,5766.3
"MorganHillcity",23928,"CA",53480,53.48,2.32,16.58,3.7,2207.4,NA,80.97,4.51,22.35,0.0250752256770311,1977,3.72,37.17,70.63,368,795.48,2616.91,319.68,70.63,479.52,3802.7,4282.22
"AppleValleytown",46079,"CA",34050,34.05,0.58,19.86,7.89,661.8,NA,77.44,10.67,20.48,0.023872045834328,1983,13.4,30.62,126.3,503.3,1752.94,2788.25,518.61,45.93,673.62,5105.73,5779.35
"CasaGrandecity",19082,"AZ",25926,25.926,0.79,28.01,7.9,845.4,NA,69.39,17.44,25.3,0.22534325542396,1975,13.74,68.72,224.49,1085.81,2698.49,10065.52,847.57,123.7,1392.76,13735.28,15128.04
"Aberdeencity",24927,"SD",22422,22.422,0.19,22.7,3.57,2870.5,NA,76.04,12.2,36.9,0.0401171420548,1957,3.94,55.19,15.77,130.08,480.9,2727.74,110.37,39.42,204.98,3358.43,3563.41
"Farmingtontown",20608,"CT",52979,52.979,0.88,11.13,3.47,709,NA,86.23,2.61,35.6,0.0339673913043478,1971,0,9.69,33.93,24.23,567.08,3116.52,387.75,0,67.85,4071.35,4139.2
"Eveshamtownship",35309,"NJ",51676,51.676,1.15,9.91,2.47,1153.7,NA,86.22,2.24,20.54,0,1980,0,11.07,24.9,146.64,564.41,1607.46,135.57,13.83,182.61,2321.27,2503.88
"Ashwaubenonvillage",16376,"WI",35108,35.108,0.12,12.1,3.59,1513.4,NA,82.19,5.22,10.91,0,1974,0,11.49,28.72,114.88,390.58,4365.31,120.62,11.49,155.09,4888,5043.09
"SouthKingstowntown",24631,"RI",36481,36.481,2.31,14.46,5.25,416.4,NA,80.86,6.95,65.98,0.0446591693394503,1966,0,36.66,8.15,48.89,370.72,1315.84,89.62,0,93.7,1776.18,1869.88
"Stamfordtown",108056,"CT",49787,49.787,5.06,18.81,5.08,2765.1,299,72.41,6.29,27.98,0.12215888058044,1961,7.46,20.52,251.87,221.08,1030.79,3267.75,678.18,28.92,500.93,5005.64,5506.57
"Masoncity",11452,"OH",39738,39.738,0,16.17,2.84,904.6,NA,85.12,2.66,33.33,0,1974,0,29.98,44.97,59.96,389.75,1851.3,29.98,14.99,134.91,2286.02,2420.93
"Kennewickcity",42155,"WA",28261,28.261,1.36,17.5,7,2022,NA,70.96,13.93,54.1,0,1972,4.09,65.45,49.09,261.8,940.85,4473.12,263.85,10.23,380.43,5688.05,6068.48
"MoundsViewcity",12541,"MN",37117,37.117,0.28,12.18,4.93,2938.7,NA,74.31,5.98,13.11,0,1971,0,26.92,30.51,221.17,518.61,3027.76,266.93,30.51,278.6,3843.81,4122.41
"Haddonfieldborough",11628,"NJ",56585,56.585,0.46,8.86,1.78,3969.1,NA,85.65,2.8,43.48,0,1939,0,8.59,34.36,25.77,515.33,2748.43,85.89,17.18,68.72,3366.83,3435.55
"Robbinsdalecity",14396,"MN",33107,33.107,0.12,15.58,4.55,5000.7,NA,76.93,5,19.05,0,1953,0,42.31,133.97,190.38,712.17,3793.54,486.53,28.2,366.66,5020.44,5387.1
"Norwalktown",78331,"CT",48171,48.171,2.81,20.48,4.69,3315.6,164,74.35,5.2,37.8,0.154472686420447,1958,11.43,12.7,238.85,149.92,1067.21,3196.54,701.31,16.52,412.9,4981.58,5394.48
"Cincinnaticity",364040,"OH",21006,21.006,0.76,30.39,7.84,4550.3,938,50.06,24.34,40.09,0.271673442478849,1945,10.84,124.81,646.84,779.99,1710.64,4749.14,573.46,161.5,1562.48,7194.74,8757.22
"Bridgewatertown",21249,"MA",41933,41.933,0.37,17.09,6.22,746.1,NA,83.06,4.74,27.56,0,1970,0,4.43,8.85,146.04,238.98,685.96,181.45,0,159.32,1106.39,1265.71
"Lockportcity",24426,"NY",25000,25,0.06,26.45,7.44,2762.2,NA,69.73,14.45,48.53,0,1939,0,54.56,116.92,740.48,1099.03,3086.64,249.43,15.59,911.96,4450.69,5362.65
"Kalamazootownship",20976,"MI",28070,28.07,0.28,18.64,5.34,1721,NA,71.87,11.91,25.83,0.028604118993135,1958,4.64,26.92,55.68,347.98,830.51,3117.9,366.54,41.76,435.22,4356.71,4791.93
"Paducahcity",27256,"KY",17196,17.196,0.16,30.99,7.51,1498.2,NA,58.21,23.81,47.95,0.0697094217786909,1955,14.76,92.24,210.31,1343.02,1641.88,5508.62,527.62,3.69,1660.33,7681.81,9342.14
"WindsorLockstown",12358,"CT",43593,43.593,1.56,22.67,4.62,1320.8,NA,80.9,3.04,26.9,0,1958,0,0,32.33,105.08,493.09,1438.85,258.67,24.25,137.41,2214.86,2352.27
"LasVegascity",258295,"NV",30590,30.59,2.82,23.7,6.57,2993.5,1162,67.72,11.47,11.95,0.130083818889255,1977,12.68,60.63,497.88,443.66,1363.6,3325.01,1037.86,63.98,1014.85,5790.45,6805.3
"Belchertowntown",10579,"MA",38868,38.868,0.78,19.52,3.76,193.6,NA,80.75,9.32,36.2,0,1975,0,9.16,0,366.43,632.1,998.53,82.45,9.16,375.59,1722.24,2097.83
"Corcorancity",13364,"CA",21558,21.558,3.76,42.24,12.35,2277.4,NA,69.24,24.15,47.51,0,1969,14.43,28.86,86.57,634.83,786.32,1284.09,245.27,79.35,764.69,2395.03,3159.72
"RoselleParkborough",12805,"NJ",43365,43.365,3.07,21.14,5.37,10108.1,NA,82.35,3.34,32.92,0,1947,0,15.42,69.37,61.67,608.96,1379.79,501.04,0,146.46,2489.79,2636.25
"Bedfordtown",12996,"MA",57561,57.561,0.88,7.1,2.78,912.9,NA,85.8,1.72,39.02,0,1961,0,0,7.42,133.61,274.64,712.59,51.96,0,141.03,1039.19,1180.22
"Maconcity",106612,"GA",21038,21.038,0.32,36.08,8.38,2149.4,260,51.01,24.38,42.99,0.129441338686077,1960,17.95,91.52,344.55,366.08,1624.94,6759.08,751.91,40.38,820.1,9176.31,9996.41
"EastHamptontown",10428,"CT",48000,48,0.23,16.4,4.18,282.8,NA,85.22,0.93,57.93,0,1962,0,0,0,55.83,493.21,949.19,65.14,0,55.83,1507.54,1563.37
"BrooklynCentercity",28887,"MN",34168,34.168,0.59,16.18,5.37,3509.3,NA,69.08,7.07,26.08,0,1961,0,26.92,172.56,201.32,1020.96,6654.2,747.74,57.52,400.8,8480.42,8881.22
"Blythevillecity",22906,"AR",18858,18.858,0.32,33.68,8.69,1910.7,NA,66.43,25.55,56.59,0.113507377979569,1963,34.18,102.54,518.4,1538.11,4409.25,7810.19,843.11,239.26,2193.23,13301.81,15495.04
"Uvaldecity",14729,"TX",17103,17.103,1.89,48.56,13.57,2578.6,NA,74.62,33.49,59.17,0.0543146174214135,1964,0,6.29,37.72,295.49,729.28,1540.3,88.02,25.15,339.5,2382.75,2722.25
"CathedralCitycity",30085,"CA",30908,30.908,6.81,30.39,6.24,1535.3,NA,74.13,13.56,14.03,0,1981,22.92,54.43,174.75,979.72,2159.96,2552.42,719.03,14.32,1231.82,5445.73,6677.55
"NorthOgdencity",11668,"UT",41178,41.178,0.35,6.32,4.34,1822,NA,88.86,2.9,40.35,0,1973,0,14.95,0,29.91,157.01,1794.39,52.34,7.48,44.86,2011.22,2056.08
"Mariettacity",44129,"GA",27371,27.371,1.89,18.66,5.33,2090.2,332,64.89,14.16,17.59,0.154093679893041,1977,0,120.79,307.81,416.91,1576.08,7477.11,933.18,38.96,845.51,10025.33,10870.84
"Lowertownship",20820,"NJ",26668,26.668,0.16,34.58,7.71,712.1,NA,76.26,8.82,61.56,0,1966,0,89.15,42.23,112.61,886.78,2280.3,168.91,37.54,243.99,3373.53,3617.52
